# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,32.640000 ,100.000000,0.000000  ,0.000000  ,0.012619  ,1.232130  
2.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011919  ,1.206716  
3.000000  ,1.000000  ,32.200000 ,100.000000,0.000000  ,0.000000  ,0.011913  ,1.191837  
4.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011836  ,1.250381  
5.000000  ,1.000000  ,32.240000 ,100.000000,0.000000  ,0.000000  ,0.012084  ,1.223367  
6.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011893  ,1.324340  
7.000000  ,1.000000  ,32.200000 ,100.000000,0.000000  ,0.000000  ,0.011847  ,1.392473  
8.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011884  ,1.254482  
9.000000  ,1.000000  ,32.220000 ,100.000000,0.000000  ,0.000000  ,0.011749  ,1.233069  
10.000000 ,1.000000  ,32.240000 ,100.000000,0.000000  ,0.000000  ,0.011791  ,1.211390  
11.000000 ,1.000000  ,32.200000 ,100.000000,10.000000 ,0.000000  ,0.011770  ,1.239553  
12.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.011916  ,1.203907  
13.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.011760  ,1.182907  
14.000000 ,1.000000  ,32.200000 ,100.000000,10.000000 ,0.000000  ,0.011840  ,1.218503  
15.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.011913  ,1.226352  
16.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.011826  ,1.230539  
17.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.012141  ,1.199166  
18.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.011758  ,1.214885  
19.000000 ,1.000000  ,32.200000 ,100.000000,10.000000 ,0.000000  ,0.011762  ,1.275791  
20.000000 ,1.000000  ,32.220000 ,100.000000,10.000000 ,0.000000  ,0.011811  ,1.225919  
21.000000 ,1.000000  ,32.200000 ,100.000000,20.000000 ,0.000000  ,0.011688  ,1.239188  
22.000000 ,1.000000  ,32.220000 ,100.000000,20.000000 ,0.000000  ,0.011921  ,1.221288  
23.000000 ,1.000000  ,32.200000 ,100.000000,20.000000 ,0.000000  ,0.011659  ,1.212398  
24.000000 ,1.000000  ,32.220000 ,100.000000,20.000000 ,0.000000  ,0.011695  ,1.439687  
25.000000 ,1.000000  ,32.200000 ,100.000000,20.000000 ,0.000000  ,0.011914  ,1.553110  
26.000000 ,1.000000  ,32.220000 ,100.000000,20.000000 ,0.000000  ,0.011798  ,1.439774  
27.000000 ,1.000000  ,32.220000 ,100.000000,20.000000 ,0.000000  ,0.011924  ,1.457355  
28.000000 ,1.000000  ,32.200000 ,100.000000,20.000000 ,0.000000  ,0.012056  ,1.459009  
29.000000 ,1.000000  ,32.220000 ,100.000000,20.000000 ,0.000000  ,0.011755  ,1.402121  
30.000000 ,1.000000  ,32.200000 ,100.000000,20.000000 ,0.000000  ,0.011981  ,1.371366  
31.000000 ,1.000000  ,32.220000 ,100.000000,30.000000 ,0.000000  ,0.011757  ,1.476826  
32.000000 ,1.000000  ,32.200000 ,100.000000,30.000000 ,0.000000  ,0.011486  ,1.450777  
33.000000 ,1.000000  ,32.200000 ,100.000000,30.000000 ,0.000000  ,0.012008  ,1.418290  
34.000000 ,1.000000  ,32.220000 ,100.000000,30.000000 ,0.000000  ,0.011927  ,1.444066  
35.000000 ,1.000000  ,32.200000 ,100.000000,30.000000 ,0.000000  ,0.012037  ,1.399496  
36.000000 ,1.000000  ,32.200000 ,100.000000,30.000000 ,0.000000  ,0.011707  ,1.380031  
37.000000 ,1.000000  ,32.220000 ,100.000000,30.000000 ,0.000000  ,0.011840  ,1.355170  
38.000000 ,1.000000  ,32.200000 ,100.000000,30.000000 ,0.000000  ,0.011934  ,1.404391  
39.000000 ,1.000000  ,32.200000 ,100.000000,30.000000 ,0.000000  ,0.011960  ,1.484636  
40.000000 ,1.000000  ,32.220000 ,100.000000,30.000000 ,0.000000  ,0.011931  ,1.412005  
41.000000 ,1.000000  ,32.200000 ,100.000000,40.000000 ,0.000000  ,0.012023  ,1.496507  
42.000000 ,1.000000  ,32.200000 ,100.000000,40.000000 ,0.000000  ,0.011798  ,1.387905  
43.000000 ,1.000000  ,32.200000 ,100.000000,40.000000 ,0.000000  ,0.012014  ,1.512727  
44.000000 ,1.000000  ,32.200000 ,100.000000,40.000000 ,0.000000  ,0.011717  ,1.284370  
45.000000 ,1.000000  ,32.200000 ,100.000000,40.000000 ,0.000000  ,0.011705  ,1.404030  
46.000000 ,1.000000  ,32.200000 ,100.000000,40.000000 ,0.000000  ,0.011964  ,1.296235  
